issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error
2953-3392,S4387283052,0,0,1,0.05,True,
1850-0153;1850-0161,,0,0,0,0.0,False,
2469-0090,S4210228549,118,82,4,0.125,True,
1666-8979,S4404661724,0,0,0,0.0,True,
2618-3137,S4404674791,0,0,1,0.0,True,
2953-4720;2953-4739,,0,0,0,0.0,False,
2525-0493,,0,0,0,0.0,False,
1514-0032;1851-9504,,0,0,0,0.0,False,
1850-373X,S979770011,652,3041,19,0.3382352941176471,True,
2591-3530,S4210202966,166,93,3,0.044444444444444446,True,
2618-4095,S4387284577,0,0,4,0.11864406779661017,True,
1853-8827,S4210172653,42,9,1,0.041666666666666664,True,
2796-891X,,0,0,0,0.0,False,
2469-0228,S4210173901,133,645,13,0.273972602739726,True,
2953-3414,S4387283941,0,0,1,0.1346153846153846,True,
1515-6761;2684-0359,,0,0,0,0.0,False,
1515-3371;2314-2766,,0,0,0,0.0,False,
3008-8143,,0,0,0,0.0,False,
3008-8771,S4404676723,0,0,15,3.3793103448275863,True,
0329-3807;1851-4669,,0,0,0,0.0,False,
2545-7977,,0,0,0,0.0,False,
0539-242X;2545-7055,,0,0,0,0.0,False,
1668-8864;2796-9304,,0,0,0,0.0,False,
1667-6122,,0,0,0,0.0,False,
2422-5975,,0,0,0,0.0,False,
1852-8171,,0,0,0,0.0,False,
2953-5999,,0,0,0,0.0,False,
1515-6850;2683-6998,,0,0,0,0.0,False,
2684-0502,,0,0,0,0.0,False,
2545-8043,,0,0,0,0.0,False,
1851-2577,,0,0,0,0.0,False,
2250-8112,,0,0,0,0.0,False,
2796-8065,,0,0,0,0.0,False,
2618-4788,S4210224732,130,174,5,0.39285714285714285,True,
2683-7420,S4387279311,0,0,4,0.06896551724137931,True,
0325-0075;1668-3501,,0,0,0,0.0,False,
2953-5069,S4387290915,0,0,21,4.043478260869565,True,
2362-4752,S2738234181,152,34,3,0.0,True,
2618-4281,,0,0,0,0.0,False,
1852-7175,S4210238547,339,487,9,0.203125,True,
2451-8050,S4306510025,102,54,4,0.0,True,
0327-1471;1668-8104,,0,0,0,0.0,False,
2313-9749;2683-9601,,0,0,0,0.0,False,
2250-7124;2250-7132,,0,0,0,0.0,False,
1668-7361,S4210223433,33,4,1,0.0,True,
1666-6917;1666-6933,,0,0,0,0.0,False,
2591-4553,,0,0,0,0.0,False,
2545-7284,S4210220768,141,229,7,0.23728813559322035,True,
0327-6627;2250-7671,,0,0,0,0.0,False,
1853-6034,S4387291615,0,0,1,0.21052631578947367,True,
2953-4577,S4387285573,0,0,26,6.245283018867925,True,
1514-3333;1851-1724,,0,0,0,0.0,False,
0328-6169;1669-5704,,0,0,0,0.0,False,
2250-4087;2545-8566,,0,0,0,0.0,False,
2469-2131,,0,0,0,0.0,False,
1668-8392,,0,0,0,0.0,False,
1666-6836;2683-9164,,0,0,0,0.0,False,
0327-3776;1850-275X,,0,0,0,0.0,False,
1669-6301,S4210183140,127,47,3,0.05128205128205128,True,
1669-8843;2683-9393,,0,0,0,0.0,False,
1851-7811,S4210233353,226,154,6,0.06779661016949153,True,
1666-6186;1853-3655,,0,0,0,0.0,False,
1851-7811,S4210233353,226,154,6,0.06779661016949153,True,
1851-5517,,0,0,0,0.0,False,
2618-2483;2618-3188,,0,0,0,0.0,False,
1852-9879,,0,0,0,0.0,False,
3008-9735,S4404663307,0,0,7,0.5925925925925926,True,
1851-3239,S4387280060,0,0,3,0.017857142857142856,True,
2451-6821,S4306507362,60,3,1,0.0,True,
2524-9568,,0,0,0,0.0,False,
1668-7515,S2737138519,259,225,9,0.3898305084745763,True,
0325-2280;2683-9636,,0,0,0,0.0,False,
2314-2189,S4306529995,241,245,6,0.0,True,
1852-2459,S2738018908,1,0,0,0.0,True,
1669-7405;2408-4182,,0,0,0,0.0,False,
2525-1171,,0,0,0,0.0,False,
1852-8759,S4306527645,65,51,4,0.0,True,
1851-2828;1853-4759,,0,0,0,0.0,False,
1852-1576;2618-2998,,0,0,0,0.0,False,
0326-8373;1852-4265,,0,0,0,0.0,False,
2591-2755,,0,0,0,0.0,False,
2545-6369;2545-6377,,0,0,0,0.0,False,
2314-257X,S2737881762,440,398,8,0.021739130434782608,True,
2422-6483,S4210170914,241,127,4,0.2962962962962963,True,
2362-194X,S4210240142,332,177,6,0.11475409836065574,True,
2346-9110;2346-917X,,0,0,0,0.0,False,
1853-3256,,0,0,0,0.0,False,
1667-4545,S4210227562,0,0,0,0.0,True,
2545-6393;2545-6466,,0,0,0,0.0,False,
0325-1217;1851-9628,,0,0,0,0.0,False,
2451-7348,S4387280115,0,0,1,0.02702702702702703,True,
1515-6117;2618-334X,,0,0,0,0.0,False,
2347-0151,,0,0,0,0.0,False,
0326-7806;1852-7213,,0,0,0,0.0,False,
2250-4397,S2737738381,172,59,3,0.18,True,
1853-8185,S1034174532,1814,18463,49,0.125,True,
1852-1002;2422-7749,,0,0,0,0.0,False,
0328-3186;1851-7072,,0,0,0,0.0,False,
2525-1635,,0,0,0,0.0,False,
2347-064X;2347-1107,,0,0,0,0.0,False,
2250-6942,S2739371774,282,297,7,0.07272727272727272,True,
0327-358X;1850-1168,,0,0,0,0.0,False,
2451-5930;2718-7500,,0,0,0,0.0,False,
1666-3055,S4210204113,326,684,14,0.0,True,
1668-8821;2618-3692,,0,0,0,0.0,False,
1669-3914;1851-3115,,0,0,0,0.0,False,
0325-1721;2362-4841,,0,0,0,0.0,False,
1851-703X,S2739208781,52,31,4,0.22857142857142856,True,
0049-2353,S4210218737,966,225,5,0.0,True,
2525-1333,S4387280272,0,0,1,0.041666666666666664,True,
0326-3169;1850-2067,,0,0,0,0.0,False,
2591-4863,,0,0,0,0.0,False,
1515-3576;2618-4141,,0,0,0,0.0,False,
0556-6274;2422-572X,,0,0,0,0.0,False,
0041-8676;1669-9513,,0,0,0,0.0,False,
2250-4982,S4404676908,0,0,0,0.0,True,
1666-9606,S2736532356,326,175,6,0.0,True,
0329-0573;2362-5643,,0,0,0,0.0,False,
0328-7998;1850-003X,,0,0,0,0.0,False,
0326-3363;2683-7897,,0,0,0,0.0,False,
1667-927X;2718-6555,,0,0,0,0.0,False,
2683-720X,,0,0,0,0.0,False,
0325-1071;2545-7594,,0,0,0,0.0,False,
2250-6543,,0,0,0,0.0,False,
1853-4309;2591-3611,,0,0,0,0.0,False,
2346-8734,,0,0,0,0.0,False,
2469-0724,S4387287932,0,0,2,0.0975609756097561,True,
2683-9830,,0,0,0,0.0,False,
1850-3853;2362-5554,,0,0,0,0.0,False,
1514-8327;1851-1740,,0,0,0,0.0,False,
2524-938X,,0,0,0,0.0,False,
2684-012X,,0,0,0,0.0,False,
2718-7268,S4210226114,42,4,1,0.046511627906976744,True,
1853-6212,S4210207327,55,43,2,0.058823529411764705,True,
2796-9010,,0,0,0,0.0,False,
0327-5523;2953-4127,,0,0,0,0.0,False,
2591-6580,,0,0,0,0.0,False,
2618-4222,,0,0,0,0.0,False,
2953-4593,S4393914558,0,0,0,0.0,True,
2422-619X,,0,0,0,0.0,False,
0326-551X;1852-5768,,0,0,0,0.0,False,
3008-8488,,0,0,0,0.0,False,
2591-5339,,0,0,0,0.0,False,
2525-0965,,0,0,0,0.0,False,
1850-4787;2545-6199,,0,0,0,0.0,False,
1666-4124;1851-3727,,0,0,0,0.0,False,
2362-6070;2469-0422,,0,0,0,0.0,False,
1667-2003;2524-9274,,0,0,0,0.0,False,
1851-9490,,0,0,0,0.0,False,
2362-2075,S4387290437,0,0,1,0.14285714285714285,True,
2718-8388,S4387284659,0,0,2,0.13636363636363635,True,
2718-6288,,0,0,0,0.0,False,
