"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico"
"Latin American Journal of Trade Policy","lajtp.uchile.cl","0719-9368",13,14,13,25,89
"Tiempo y Espacio","revistas.ubiobio.cl","0716-9671;0719-0867",13,8,19,8,371
"Revista Chilena de Derecho del Trabajo y de la Seguridad Social","revistatrabajo.uchile.cl","0719-0093;0719-7551",13,15,15,18,350
"Ciencia & Investigación Forestal","revista.infor.cl","0718-4530;0718-4646",13,17,39,18,590
"UCMaule","revistaucmaule.ucm.cl","0717-2656;0719-9872",13,14,14,14,121
"Cuadernos de Beauchef","revistasdex.uchile.cl","2452-493X",13,36,60,0,128
"Filosofía Juridica","anuario.filosofiajuridica.cl","Sin ISSN",13,6,34,0,60
"Acta Entomológica Chilena","revistas.umce.cl","0716-5072",13,236,0,0,249
"En las Fronteras del Derecho","fdd.ufro.cl","2735-7236",13,15,0,0,36
"Veritas","revistatrabajosocial.uc.cl","0717-4675;0718-9273",13,6,34,11,474
"Revista F@ro","revistas.upla.cl","0718-2023;0718-4018",13,182,17,7,396
"Textos Híbridos","textoshibridos.uai.cl","2157-0159",13,17,27,13,148
"Anales del Instituto de la Patagonia -- ISSN 0718-686X","www.analesdelinstitutodelapatagonia.cl","0718-686X",12,18,39,20,458
"Revista de Derecho Público","revistaderechopublico.uchile.cl","0716-0267;0719-5249",12,17,12,14,1360
"European Journal of Education and Psychology","revistas.uautonoma.cl","1888-8992;1989-2209",12,19,14,8,227
"Átemus","revistaatemus.uchile.cl","0719-885X",12,14,18,19,142
"Cuadernos de Teoría Social","cuadernosdeteoriasocial.udp.cl","0719-6415;0719-6423",12,17,5,18,126
"Estudios de Economía","estudiosdeeconomia.uchile.cl","0304-2758;0718-5286",12,9,8,10,616
"Inferencias: Boletín de Bioestadística","revistasdex.uchile.cl","Sin ISSN",12,20,10,0,57
"Benessere. Revista de Enfermería","revistas.uv.cl","0719-7764",12,9,13,9,72
"Archivos de la Sociedad Chilena de Medicina del Deporte","revistasochmedep.cl","0719-7322",12,5,7,5,69
"Revista de Derecho y Ciencias Sociales","rduss.cl","0718-302X",12,20,0,0,59
"Nueva Revista del Pacífico","revistas.upla.cl","0719-5176",12,23,39,32,208
"Horizontes Empresariales","revistas.ubiobio.cl","0717-9901;0719-0875",11,17,5,11,218
"Revista Tribuna Internacional","tribunainternacional.uchile.cl","0719-210X;0719-482X",11,6,13,19,205
"Contextos: Estudios de Humanidades y Ciencias Sociales","revistas.umce.cl","0717-7828;0719-1014",11,25,20,42,804
"Estudios de Transporte","estudiosdetransporte.org","2735-6299",11,6,11,0,143
"Revista de Gestión Pública","revistas.uv.cl","0719-1820;0719-1839",11,10,14,100,140
"Revista de Orientación Educacional","www.roeupla.cl","0716-5714;0719-5117",11,13,10,6,118
"Nutrición y Vida","revistasdex.uchile.cl","Sin ISSN",11,0,0,0,11
"Revista Enfoques: Ciencia Política y Administración Pública","www.revistaenfoques.cl","0718-9656",11,8,8,13,345
"Revista Chilena de Estudios Medievales","revistas.ugm.cl","0719-2215;0719-689X",10,23,23,32,223
"Summa Psicológica","summapsicologica.cl","0718-0446;0719-448X",10,11,14,14,329
"Economía y Política","www.economiaypolitica.cl","0719-4714;0719-4803",10,9,7,8,85
"Cuadernos de Filosofía","revistas.udec.cl","0716-9884",10,30,24,38,135
"Applied Sciences in Dentistry","revistas.uv.cl","0719-5761",10,11,43,38,106
"Trenzar. Revista de Educación Popular, Pedagogía Crítica e Investigación Militante (ISSN 2452-4301)","revistatrenzar.cl","2452-4301",10,0,0,0,51
"Revista Estudiantil de Ensayos Monográficos","revistasdex.uchile.cl","Sin ISSN",10,8,0,0,18
"Revista de Investigación Aplicada en Ciencias Empresariales","iace.uv.cl","0719-3084;0719-9910",10,5,8,24,90
"European Journal of Health Research","revistas.uautonoma.cl","2444-9067;2445-0308",10,6,22,20,129
"European Journal of Child Development, Education and Psychopathology","revistas.uautonoma.cl","2340-924X",10,0,11,15,113
"RLA. Revista de Lingüística Teórica y Aplicada","revistas.udec.cl","0033-698X;0718-4883",9,17,17,34,109
"Revista Iberoamericana de Estudios Municipales","revistas.uautonoma.cl","0719-1790",9,12,12,12,180
"Boletín Museo Nacional de Historia Natural","boletinmnhn.cl","0027-3910;0719-935X",9,8,9,15,932
"Boletín Micológico","revistas.uv.cl","0719-3114",9,11,16,10,571
"Revista summa de arithmetica","www.revista-sda.cl","0719-1146;2735-7317",9,10,0,0,51
"Boletín Científico Tecnológico","boletincientifico.cl","0718-1191;2452-607X",9,7,5,7,44
"Grecorromana. Revista Chilena de Estudios Clásicos","grecorromana.unab.cl","0719-9902",9,10,10,4,44
"Revista Relatos","relatos.unab.cl","2810-6253;2810-6369",9,10,0,0,20
"STEINIANA: Revista de Estudios Interdisciplinarios","revistasteiniana.uc.cl","0719-8728",9,14,1,8,74
"Base Diseño e Innovación","revistas.udd.cl","0719-515X;2452-5928",8,20,9,0,232
"Revista Chilena de Educación Matemática","www.sochiem.cl","2452-5448",8,9,20,10,51
"Neuma (Talca)","neuma.utalca.cl","0718-7017;0719-5389",8,12,27,1,239
"Mirador Mundial","www.politicayestrategia.cl","2452-4247;2452-4255",8,16,23,0,48
"Vincularte","revistavincularte.cl","2810-6636",8,6,7,10,77
"Revista de Educación Estadística","revistaucmaule.ucm.cl","2810-6164",8,9,0,0,27
"EMERGENCIAS: Cuaderno del Magíster en Comunicación Política","revistasdex.uchile.cl","Sin ISSN",8,0,0,0,8
"Scientia","revistas.usm.cl","0716-8446",8,6,0,0,45
"Revista Akadèmeia","revistas.ugm.cl","0717-9936;0718-9397",7,17,28,7,102
"Polyphōnía. Revista de Educación Inclusiva / Polyphōnía. Journal of Inclusive Education","revista.celei.cl","0719-7438",7,19,23,14,131
